id,title,description,starttime,endtime,content,maxNum,tag
14,Python Coding Marathon,24-hour coding challenge solving real-world problems,2024/10/12 10:00,2024/10/13 10:00,"Join this intense 24-hour coding marathon where student teams tackle real-world problems provided by local tech companies. With mentor guidance, you'll work on projects involving data visualization and machine learning using Python tools. Win Arduino kits and internship interviews! Midnight pizza included to keep you coding.",80,Coding/TechDemo/Teamwork
15,Campus Ping Pong Championship,Inter-department table tennis competition,2024/11/8 14:00,2024/11/8 18:00,"Showcase your table tennis skills in this inter-department tournament! We'll have professional-grade tables and equipment set up in the sports complex. The event features single/double elimination brackets, beginner coaching sessions, and free energy drinks for participants. Winners receive custom paddles and campus bragging rights.",32,Sports/TableTennis/Competition
16,Startup Pitch Workshop,Learn to present your business idea effectively,2024/9/25 16:30,2024/9/25 19:00,"Master the art of pitching your startup idea in this intensive workshop. Through interactive exercises, you'll learn storytelling techniques, financial modeling basics, and investor psychology. Bring your business concept for live feedback sessions. Successful alumni founders will share their pitching journey from dorm room to boardroom.",45,Entrepreneurship/Career/Workshop
17,Sunrise Meditation Retreat,Mindfulness practice at campus gardens,2024/10/5 6:00,2024/10/5 8:00,"Begin your day with guided mindfulness meditation in our botanical gardens. Certified instructors will teach breathing techniques and body awareness exercises. We'll provide yoga mats and blankets as you experience tranquility amidst nature. Perfect for stress relief during midterms, with herbal tea served afterward.",Unlimited,Meditation/Wellness/Nature
18,Sustainable Fashion Show,Upcycled clothing design exhibition,2024/11/15 19:00,2024/11/15 21:30,"Discover creative upcycling at our sustainable fashion showcase! Student designers transform thrifted clothing into runway-worthy pieces. Learn mending techniques at DIY stations and participate in our clothing swap corner. Ethical fashion brands will offer discounts, and all proceeds support campus recycling initiatives.",120,Sustainability/ArtExhibition/Thrifting
19,International Food Fair,Culinary journey around the world,2024/9/30 17:00,2024/9/30 20:00,"Embark on a global culinary adventure without leaving campus! Student cultural clubs prepare authentic dishes from over 20 countries. Enjoy live cooking demonstrations, recipe trading cards, and cultural performances. Ticket includes 5 tasting portions - vote for your favorite booth to win the Golden Spatula award!",300,FoodTasting/Social/International
20,VR Game Development Lab,Create immersive virtual reality experiences,2024/10/18 13:00,2024/10/18 16:00,"Dive into virtual reality game creation using Unity and Oculus headsets. Learn 3D environment design, motion controls, and interactive storytelling. No prior experience needed - we'll guide you from concept to playable prototype. Best student creation gets featured in the campus tech showcase.",25,TechDemo/Coding/Creative
21,Urban Gardening Club,Plant vegetables in campus plots,2024/9/12 15:00,2024/9/12 17:00,"Get your hands dirty at our campus community garden! Learn organic planting techniques for seasonal vegetables and herbs. We'll prepare garden beds, plant seedlings, and install irrigation systems. Take home starter kits for windowsill gardens. Monthly harvest parties planned throughout the semester!",40,Gardening/Sustainability/Wellness
22,Improv Comedy Night,Spontaneous theater and laughter,2024/10/25 19:00,2024/10/25 21:00,Unleash your creativity at our no-script comedy jam! Professional improvisers teach scene-building games and character development. Volunteers can join on-stage antics in a supportive environment. Features themed improv battles and audience suggestion challenges. Free popcorn and laughter guaranteed!,60,Arts/Social/Recreation
23,Resume Revamp Bootcamp,Transform your job application materials,2024/10/3 14:00,2024/10/3 16:30,"Overhaul your resume with HR professionals from top companies. Learn to highlight student experiences effectively, optimize for ATS systems, and craft compelling achievement statements. Includes 1:1 review sessions, LinkedIn profile tips, and templates for different industries. Bring your current resume for immediate transformation!",35,ResumeWorkshop/Career/Academic
