userid,tags
10,Arts/Social/Recreation
11,Arts/Social/TechDemo
12,Social/Arts/TechDemo
13,Social/Arts/Recreation
14,Social/Arts/Recreation
15,Tech/Coding/DataScience
16,Wellness/Nature/Meditation
17,Entrepreneurship/Career/Startups
18,Sports/Fitness/Competition
19,Academic/ResearchSymposium/Science
20,Design/ArtExhibition/Creative
21,Sustainability/EcoFriendly/EnvironmentalScience
22,Music/Performance/Arts
23,LanguageExchange/International/Cultural
24,Workshop/Craft/HandsOn
25,Health/Wellness/Nutrition
26,Photography/Travel/Nature
27,Debate/Government/Politics
28,FoodTasting/Cooking/International
29,Gaming/VR/Technology
